,x,y,Cluster,tires,numtire
439,4.561596,-74.130918,43,22,22
440,4.558382,-74.135327,43,29,29
441,4.558213,-74.136462,7,35,35
442,4.742194,-74.028485,36,12,12
443,4.744881,-74.03706,36,16,16
444,4.743697,-74.04716,4,23,23
445,4.760071,-74.030103,21,12,12
446,4.767896,-74.027252,21,15,15
447,4.763066,-74.045109,21,21,21
448,4.7467,-74.050915,4,33,33
449,4.720989,-74.051955,31,56,56
450,4.73225,-74.103288,22,18,18
451,4.540241,-74.133696,48,38,38
452,4.536574,-74.114174,20,24,24
453,4.54083,-74.117654,20,28,28
454,4.560985,-74.124177,43,24,24
455,4.574015,-74.102115,0,37,37
456,4.580274,-74.104373,0,27,27
457,4.588521,-74.115321,16,10,10
458,4.588963,-74.112328,16,19,19
459,4.586463,-74.122066,16,7,7
460,4.580656,-74.128073,16,4,4
461,4.588969,-74.118223,16,29,29
462,4.654576,-74.066814,41,96,96
463,4.661852,-74.064365,41,10,10
464,4.663023,-74.067139,41,5,5
465,4.664866,-74.071174,40,5,5
466,4.662418,-74.073427,40,31,31
467,4.653975,-74.075189,12,20,20
468,4.637972,-74.069846,44,4,4
469,4.620418,-74.074294,29,21,21
470,4.616154,-74.085808,5,19,19
471,4.610916,-74.113052,14,1,1
472,4.626178,-74.1074,49,11,11
473,4.633775,-74.110811,49,6,6
474,4.633263,-74.11202,49,14,14
475,4.631371,-74.113605,49,25,25
476,4.61788,-74.142891,26,13,13
477,4.679029,-74.15643,11,11,11
478,4.684268,-74.159166,11,3,3
479,4.681055,-74.147704,11,17,17
480,4.68459,-74.151341,11,31,31
481,4.677892,-74.144645,11,60,60
482,4.696231,-74.12563,9,6,6
483,4.595574,-74.163436,2,32,32
484,4.598173,-74.177361,2,7,7
485,4.602791,-74.18647,34,24,24
486,4.597912,-74.186921,34,10,10
487,4.614501,-74.202379,45,2,2
488,4.605331,-74.192038,34,13,13
489,4.602859,-74.190666,34,1,1
490,4.606124,-74.186722,34,13,13
491,4.625855,-74.191692,25,62,62
492,4.630844,-74.188287,25,18,18
493,4.606339,-74.093726,42,46,46
494,4.589602,-74.099621,18,25,25
495,4.589105,-74.099884,18,10,10
496,4.574311,-74.093076,37,12,12
497,4.578669,-74.089747,37,12,12
498,4.566669,-74.083671,37,13,13
499,4.569116,-74.080571,37,38,38
500,4.67599,-74.056046,1,10,10
501,4.671347,-74.081123,35,8,8
502,4.671325,-74.078581,35,2,2
503,4.611544,-74.103098,42,32,32
504,4.598508,-74.08665,46,14,14
